variant,layer,neuron_index
zhao_relative_epsilon,0,491
zhao_relative_epsilon,0,8268
zhao_relative_epsilon,0,10585
zhao_relative_epsilon,0,10902
zhao_relative_epsilon,0,11311
zhao_relative_epsilon,0,13463
zhao_relative_epsilon,1,198
zhao_relative_epsilon,1,2427
zhao_relative_epsilon,2,86
zhao_relative_epsilon,2,138
zhao_relative_epsilon,2,475
zhao_relative_epsilon,2,558
zhao_relative_epsilon,2,692
zhao_relative_epsilon,2,714
zhao_relative_epsilon,2,1012
zhao_relative_epsilon,2,1039
zhao_relative_epsilon,2,1139
zhao_relative_epsilon,2,1154
zhao_relative_epsilon,2,1189
zhao_relative_epsilon,2,1601
zhao_relative_epsilon,2,1683
zhao_relative_epsilon,2,1940
zhao_relative_epsilon,2,1946
zhao_relative_epsilon,2,1996
zhao_relative_epsilon,2,2045
zhao_relative_epsilon,2,2125
zhao_relative_epsilon,2,2129
zhao_relative_epsilon,2,2482
zhao_relative_epsilon,2,2507
zhao_relative_epsilon,2,2649
zhao_relative_epsilon,2,2676
zhao_relative_epsilon,2,2725
zhao_relative_epsilon,2,2741
zhao_relative_epsilon,2,2882
zhao_relative_epsilon,2,2975
zhao_relative_epsilon,2,3005
zhao_relative_epsilon,2,3174
zhao_relative_epsilon,2,3177
zhao_relative_epsilon,2,3301
zhao_relative_epsilon,2,3328
zhao_relative_epsilon,2,3338
zhao_relative_epsilon,2,3372
zhao_relative_epsilon,2,3373
zhao_relative_epsilon,2,3479
zhao_relative_epsilon,2,3553
zhao_relative_epsilon,2,3709
zhao_relative_epsilon,2,3796
zhao_relative_epsilon,2,3862
zhao_relative_epsilon,2,3996
zhao_relative_epsilon,2,4077
zhao_relative_epsilon,2,4107
zhao_relative_epsilon,2,4190
zhao_relative_epsilon,2,4259
zhao_relative_epsilon,2,4270
zhao_relative_epsilon,2,4359
zhao_relative_epsilon,2,4403
zhao_relative_epsilon,2,4555
zhao_relative_epsilon,2,4601
zhao_relative_epsilon,2,4786
zhao_relative_epsilon,2,5276
zhao_relative_epsilon,2,5308
zhao_relative_epsilon,2,5470
zhao_relative_epsilon,2,5503
zhao_relative_epsilon,2,5641
zhao_relative_epsilon,2,5644
zhao_relative_epsilon,2,5668
zhao_relative_epsilon,2,5681
zhao_relative_epsilon,2,5800
zhao_relative_epsilon,2,5843
zhao_relative_epsilon,2,5844
zhao_relative_epsilon,2,5891
zhao_relative_epsilon,2,5997
zhao_relative_epsilon,2,6113
zhao_relative_epsilon,2,6614
zhao_relative_epsilon,2,6762
zhao_relative_epsilon,2,6791
zhao_relative_epsilon,2,6833
zhao_relative_epsilon,2,6853
zhao_relative_epsilon,2,6922
zhao_relative_epsilon,2,7067
zhao_relative_epsilon,2,7307
zhao_relative_epsilon,2,7332
zhao_relative_epsilon,2,7360
zhao_relative_epsilon,2,7628
zhao_relative_epsilon,2,7890
zhao_relative_epsilon,2,7994
zhao_relative_epsilon,2,8077
zhao_relative_epsilon,2,8106
zhao_relative_epsilon,2,8132
zhao_relative_epsilon,2,8225
zhao_relative_epsilon,2,8406
zhao_relative_epsilon,2,8510
zhao_relative_epsilon,2,8843
zhao_relative_epsilon,2,8872
zhao_relative_epsilon,2,9038
zhao_relative_epsilon,2,9208
