rank,neuron_id,layer,neuron_idx,score,importance
0,458617,31,14201,0.6292940974235535,0.6292940974235535
1,446814,31,2398,0.39039328694343567,0.39039328694343567
2,452775,31,8359,0.36393076181411743,0.36393076181411743
3,450848,31,6432,0.33573731780052185,0.33573731780052185
4,446356,31,1940,0.3311498165130615,0.3311498165130615
5,456420,31,12004,0.3250381648540497,0.3250381648540497
6,457752,31,13336,0.31022197008132935,0.31022197008132935
7,449925,31,5509,0.303529292345047,0.303529292345047
8,445625,31,1209,0.2953622043132782,0.2953622043132782
9,447374,31,2958,0.27854570746421814,0.27854570746421814
10,453832,31,9416,0.26029452681541443,0.26029452681541443
11,445575,31,1159,0.25337526202201843,0.25337526202201843
12,458640,31,14224,0.24691089987754822,0.24691089987754822
13,448480,31,4064,0.2397502213716507,0.2397502213716507
14,452289,31,7873,0.23809155821800232,0.23809155821800232
15,430715,30,635,0.2235105335712433,0.2235105335712433
16,449727,31,5311,0.21672825515270233,0.21672825515270233
17,447613,31,3197,0.21428531408309937,0.21428531408309937
18,457339,31,12923,0.2110089808702469,0.2110089808702469
19,451832,31,7416,0.1993194967508316,0.1993194967508316
20,450883,31,6467,0.1893010139465332,0.1893010139465332
21,444727,31,311,0.18917781114578247,0.18917781114578247
22,435622,30,5542,0.18859921395778656,0.18859921395778656
23,445416,31,1000,0.18134836852550507,0.18134836852550507
24,446684,31,2268,0.18120762705802917,0.18120762705802917
25,449437,31,5021,0.18008968234062195,0.18008968234062195
26,437893,30,7813,0.1800648272037506,0.1800648272037506
27,452534,31,8118,0.1783502995967865,0.1783502995967865
28,448852,31,4436,0.1771974265575409,0.1771974265575409
29,445740,31,1324,0.17299892008304596,0.17299892008304596
30,453530,31,9114,0.1725580245256424,0.1725580245256424
31,452389,31,7973,0.1713227778673172,0.1713227778673172
32,457230,31,12814,0.17024917900562286,0.17024917900562286
33,454080,31,9664,0.16988013684749603,0.16988013684749603
34,449978,31,5562,0.1696934849023819,0.1696934849023819
